Concurso;Data Sorteio;1ª Dezena;2ª Dezena;3ª Dezena;4ª Dezena;5ª Dezena;6ª Dezena;Ganhadores_Sena;Rateio_Sena;Ganhadores_Quina;Rateio_Quina;Ganhadores_Quadra;Rateio_Quadra;Valor_Acumulado;Estimativa_Prêmio;Acumulado_Mega_da_Virada
1;11/03/1996;4;5;30;33;41;52;0;0,00;17;39158,92;2016;330,21;1714650,23;0,00;0,00
2;18/03/1996;9;37;39;41;43;49;1;2307162,23;65;14424,02;4488;208,91;0,00;0,00;0,00
3;25/03/1996;10;11;29;30;36;47;2;391192,51;62;10515,93;4261;153,01;0,00;0,00;0,00
4;01/04/1996;1;5;6;27;42;59;0;0,00;39;15322,24;3311;180,48;717080,75;0,00;0,00
5;08/04/1996;1;2;6;16;19;46;0;0,00;98;5318,10;5399;96,53;1342488,85;0,00;0,00
6;15/04/1996;7;13;19;22;40;47;0;0,00;109;7214,66;7147;110,03;2286166,33;0,00;0,00
7;22/04/1996;3;5;20;21;38;56;0;0,00;100;8746,05;5736;152,48;3335692,28;0,00;0,00
8;29/04/1996;4;17;37;38;47;53;0;0,00;60;16084,11;5262;183,40;4493748,19;0,00;0,00
9;06/05/1996;8;43;54;55;56;60;0;0,00;17;60043,79;2175;469,31;5718641,49;0,00;0,00
10;13/05/1996;4;18;21;25;38;57;0;0,00;251;6638,45;12590;132,35;13334769,81;0,00;0,00
11;20/05/1996;15;25;37;38;58;59;1;15591365,07;148;12706,05;9442;199,16;0,00;0,00;0,00
12;27/05/1996;4;16;19;20;27;43;0;0,00;108;6791,17;6454;113,64;880136,24;0,00;0,00
13;03/06/1996;18;32;47;50;54;56;0;0,00;43;20543,98;2934;301,09;1940205,35;0,00;0,00
14;10/06/1996;2;16;23;27;47;53;0;0,00;85;10458,19;5323;167,00;3006941,32;0,00;0,00
15;17/06/1996;12;33;35;51;52;60;0;0,00;57;17919,89;3931;259,84;4232661,35;0,00;0,00
16;24/06/1996;20;32;34;49;58;60;0;0,00;31;33307,13;3250;317,70;5471686,62;0,00;0,00
17;01/07/1996;6;10;13;19;20;51;1;6789869,08;144;7628,37;9376;117,16;0,00;0,00;0,00
18;08/07/1996;23;27;36;37;42;56;0;0,00;52;13763,52;4484;159,61;858843,48;0,00;0,00
19;15/07/1996;5;10;12;24;25;60;0;0,00;159;5380,14;9250;92,48;10506266,73;0,00;0,00
20;22/07/1996;11;25;28;30;33;51;0;0,00;72;15486,97;5728;194,67;11844340,83;0,00;0,00
21;29/07/1996;6;33;36;46;49;53;0;0,00;63;17694,19;5030;221,62;13182021,44;0,00;0,00
22;05/08/1996;1;9;31;38;46;56;0;0,00;47;27212,90;4865;262,90;14716828,84;0,00;0,00
23;12/08/1996;17;37;39;51;52;59;0;0,00;74;20198,46;4897;305,23;16510452,00;0,00;0,00
24;19/08/1996;1;8;14;28;33;43;1;18661679,61;227;7897,31;13486;132,93;0,00;0,00;0,00
25;25/08/1996;24;43;50;54;55;56;0;0,00;28;26338,50;2741;269,06;884973,50;0,00;0,00
26;01/09/1996;10;22;50;53;57;58;0;0,00;16;52473,74;1823;460,55;1892469,30;0,00;0,00
27;08/09/1996;13;17;20;33;44;51;0;0,00;99;9306,24;6466;142,49;2998050,68;0,00;0,00
28;15/09/1996;3;6;22;24;54;60;0;0,00;50;19749,22;4895;201,73;4183003,48;0,00;0,00
29;22/09/1996;3;8;14;43;56;58;1;5401793,60;44;23083,15;5248;193,53;0,00;0,00;0,00
30;29/09/1996;7;14;15;29;38;50;0;0,00;80;11347,74;5885;154,26;10127520,80;0,00;0,00
31;06/10/1996;17;19;28;45;48;56;0;0,00;103;8793,04;5680;159,45;11214340,46;0,00;0,00
32;13/10/1996;5;14;33;36;43;44;0;0,00;96;11430,91;6876;159,60;12531181,83;0,00;0,00
33;20/10/1996;5;17;33;39;42;49;1;13997410,74;128;9545,76;8722;140,09;0,00;0,00;0,00
34;27/10/1996;13;15;17;40;53;57;0;0,00;51;13604,06;2627;264,11;832568,20;0,00;0,00
35;03/11/1996;4;16;21;23;54;57;0;0,00;39;20051,18;3576;218,68;1770963,49;0,00;0,00
36;10/11/1996;3;13;17;25;29;51;0;0,00;143;6238,12;8548;104,36;2841425,78;0,00;0,00
37;17/11/1996;6;7;22;38;52;60;0;0,00;47;16848,61;3695;214,32;3791687,26;0,00;0,00
38;24/11/1996;10;42;43;45;54;55;0;0,00;24;38863,10;1999;466,59;4910944,53;0,00;0,00
39;01/12/1996;12;16;37;45;52;56;0;0,00;73;13459,05;4444;221,09;13456111,33;0,00;0,00
40;08/12/1996;3;5;8;12;46;47;0;0,00;189;7789,93;12117;121,51;15222867,04;0,00;0,00
41;15/12/1996;12;26;35;38;39;47;1;17019238,50;148;10114,70;10182;147,03;0,00;0,00;0,00
42;22/12/1996;7;11;19;24;33;36;0;0,00;201;3684,64;9580;77,31;888735,02;0,00;0,00
43;29/12/1996;2;6;17;25;26;58;0;0,00;75;9738,03;5070;144,06;1765157,22;0,00;0,00
44;05/01/1997;14;18;29;38;44;47;0;0,00;103;7099,32;7742;94,45;2642633,14;0,00;0,00
45;12/01/1997;7;30;37;44;53;55;0;0,00;33;27201,47;3004;298,82;3719811,46;0,00;0,00
46;19/01/1997;1;23;24;32;46;60;0;0,00;91;9982,42;6263;145,04;4809891,56;0,00;0,00
47;26/01/1997;3;17;25;35;48;56;0;0,00;210;4458,44;10873;85,94;5933418,51;0,00;0,00
48;02/02/1997;2;5;28;34;47;50;0;0,00;132;7482,95;7454;132,25;7118717,38;0,00;0,00
49;09/02/1997;7;13;33;35;43;55;1;8405156,76;155;6916,34;9830;108,85;0,00;0,00;0,00
50;16/02/1997;6;16;21;44;57;58;0;0,00;31;25241,25;2800;278,91;8917830,39;0,00;0,00
51;23/02/1997;17;23;24;25;42;47;0;0,00;143;7231,47;9361;110,25;10158749,73;0,00;0,00
52;02/03/1997;15;30;38;46;58;59;0;0,00;77;15544,23;6442;185,43;11595036,71;0,00;0,00
53;09/03/1997;3;13;16;38;42;46;0;0,00;210;6337,79;10941;121,41;13192159,46;0,00;0,00
54;16/03/1997;5;9;18;21;36;56;2;7469653,99;207;7033,61;13067;111,20;0,00;0,00;0,00
55;23/03/1997;2;14;23;29;38;52;0;0,00;66;10817,63;3840;185,56;856756,39;0,00;0,00
56;30/03/1997;2;7;20;35;51;59;0;0,00;48;12142,20;2599;223,81;1556147,46;0,00;0,00
57;06/04/1997;7;16;17;27;34;59;0;0,00;79;10699,10;6173;136,65;2570421,80;0,00;0,00
58;13/04/1997;12;27;30;37;44;49;1;3631304,91;65;13601,07;5040;175,06;0,00;0,00;0,00
59;20/04/1997;2;8;13;28;34;54;0;0,00;90;7312,34;5351;122,75;789733,42;0,00;0,00
60;27/04/1997;3;14;15;20;21;38;0;0,00;129;7111,47;7914;115,69;9478249,26;0,00;0,00
61;04/05/1997;8;18;29;42;44;59;0;0,00;52;18902,94;3866;253,76;10657792,45;0,00;0,00
62;11/05/1997;6;8;13;24;31;52;0;0,00;119;9968,70;8613;137,46;12081323,45;0,00;0,00
63;18/05/1997;9;25;26;40;41;49;1;13680019,57;82;16246,91;6359;209,10;0,00;0,00;0,00
64;25/05/1997;8;12;23;50;54;60;0;0,00;29;23309,96;2441;276,38;811186,58;0,00;0,00
65;01/06/1997;1;5;20;25;32;34;0;0,00;61;11542,37;4932;142,48;1656088,09;0,00;0,00
66;08/06/1997;12;13;15;26;33;48;0;0,00;102;8054,25;7686;106,68;2641927,81;0,00;0,00
67;15/06/1997;12;14;17;27;47;52;0;0,00;83;10617,25;5479;160,52;3699406,44;0,00;0,00
68;22/06/1997;1;3;12;13;53;59;0;0,00;49;18496,73;4758;190,11;4787014,46;0,00;0,00
69;29/06/1997;25;34;45;53;56;58;0;0,00;55;17271,48;3661;258,96;5926931,93;0,00;0,00
70;06/07/1997;17;23;27;40;43;58;0;0,00;95;12899,52;6071;201,46;14883849,29;0,00;0,00
71;13/07/1997;16;27;33;43;45;53;0;0,00;115;12451,74;7430;192,35;16602188,45;0,00;0,00
72;20/07/1997;1;19;34;43;44;48;0;0,00;85;19676,33;7982;209,13;18609174,26;0,00;0,00
73;27/07/1997;25;26;28;45;51;57;1;21026575,40;95;21205,27;8222;244,52;0,00;0,00;0,00
74;03/08/1997;2;24;34;37;38;50;0;0,00;40;18257,68;3321;219,48;876368,71;0,00;0,00
